序号                        评分                        书名                        作者
114                         8.7                         一个陌生女人的来信                 [奥] 斯台芬·茨威格                   
115                         9.5                         灌篮高手31                       [日] 井上雄彦                      
116                         8.1                         羊脂球                             （法）莫泊桑                        
117                         8.0                         鲁滨逊漂流记                       [英] 笛福                        
118                         9.0                         沉默的大多数                       王小波                           
119                         9.2                         撒哈拉的故事                       三毛                            
120                         8.3                         巴黎圣母院                         [法]雨果                         
121                         8.0                         麦田里的守望者                     [美国] J. D. 塞林格                
122                         7.9                         山楂树之恋                         艾米                            
123                         8.3                         地下铁                             幾米                            
124                         9.1                         肖申克的救赎                       [美] 斯蒂芬·金                     
125                         7.9                         偷影子的人                         (法)马克·李维                      
126                         8.6                         华胥引（全二册）                   唐七公子                          
127                         7.7                         且听风吟                           [日] 村上春树                      
128                         7.3                         人生若只如初见                     安意如                           
129                         7.6                         钢铁是怎样炼成的                   [苏] 尼·奥斯特洛夫斯基                 
130                         8.6                         白鹿原                             陈忠实                           
131                         9.1                         安徒生童话故事集                   （丹麦）安徒生                       
132                         8.4                         红玫瑰与白玫瑰                     张爱玲                           
133                         8.1                         鬼吹灯之精绝古城                   天下霸唱                          
134                         9.0                         嫌疑人X的献身                     （日）东野圭吾                       
135                         8.8                         呐喊                               鲁迅                            
136                         7.0                         泡沫之夏                           明晓溪                           
137                         6.8                         会有天使替我爱你                   明晓溪                           
138                         7.6                         小团圆                             张爱玲                           
139                         7.6                         年华是无效信                       落落                            
140                         7.8                         在路上                             [美] 杰克·凯鲁亚克                   
141                         8.5                         月亮忘記了                         幾米                            
142                         8.9                         射雕英雄传（全四册）               金庸                            
143                         8.9                         哭泣的骆驼                         三毛                            
144                         8.3                         人间失格                           太宰治                           
145                         7.7                         原来你还在这里                     辛夷坞                           
146                         8.2                         无声告白                           [美] 伍绮诗                       
147                         8.9                         明朝那些事儿（叁）                 当年明月                          
148                         8.3                         此间的少年                         江南                            
149                         7.3                         货币战争                           宋鸿兵 编著                        
150                         8.0                         佳期如梦                           匪我思存                          
151                         8.4                         一個人住第5年                     高木直子                          
152                         8.6                         半生缘                             张爱玲                           
153                         7.6                         幻夜                               〔日〕东野圭吾                       
154                         7.5                         告别薇安                           安妮宝贝                          
155                         8.1                         时间旅行者的妻子                   [美] 奥德丽·尼芬格                   
156                         9.1                         明朝那些事儿（1-9）             当年明月                          
157                         8.1                         常识                               梁文道                           
158                         7.7                         二三事                             安妮宝贝                          
159                         8.1                         步步惊心                           桐华                            
160                         7.5                         兄弟（下）                         余华                            
161                         8.9                         无人生还                           [英] 阿加莎・克里斯蒂                  
162                         8.3                         了不起的盖茨比                     菲茨杰拉德                         
163                         8.0                         失恋33天                         鲍鲸鲸                           
164                         9.3                         1984                           [英] 乔治·奥威尔                    
165                         8.1                         孤独六讲                           蒋勋                            
166                         8.2                         盗墓笔记2                         南派三叔                          
167                         8.8                         明朝那些事儿（肆）                 当年明月                          
168                         8.8                         爱你就像爱生命                     王小波                           
169                         7.1                         左耳                               饶雪漫                           
170                         8.8                         鹿鼎记（全五册）                   金庸                            
171                         6.7                         左手倒影，右手年华。               郭敬明                           
172                         7.2                         零下一度                           韩寒                            
173                         7.3                         像少年啦飞驰                       韩寒                            
174                         8.6                         荆棘鸟                             [澳] 考琳·麦卡洛                    
175                         9.2                         动物农场                           [英] 乔治·奥威尔                    
176                         9.3                         撒哈拉的故事                       三毛                            
177                         7.8                         被窝是青春的坟墓                   七堇年                           
178                         9.0                         寻路中国                           [美] 彼得·海斯勒                    
179                         8.3                         乌合之众                           (法)古斯塔夫.勒庞                    
180                         7.4                         我们台湾这些年                     廖信忠                           
181                         7.7                         关于莉莉周的一切                   [日] 岩井俊二                      
182                         9.4                         机器猫哆啦A梦23                 藤子・F・不二雄                      
183                         7.8                         皮囊                               蔡崇达                           
184                         7.6                         1Q84 BOOK 3             [日] 村上春树                      
185                         8.2                         大地之灯                           七堇年                           
186                         8.9                         格林童话全集                       格林兄弟                          
187                         8.6                         麦琪的礼物                         [美] 欧·亨利                      
188                         8.6                         阿Q正传                           鲁迅                            
189                         8.4                         盗墓笔记3                         南派三叔                          
190                         7.8                         水仙已乘鲤鱼去                     张悦然                           
191                         8.8                         明朝那些事儿（伍）                 当年明月                          
192                         8.4                         尘埃落定                           阿来                            
193                         9.0                         历史深处的忧虑                     林达                            
194                         7.8                         当我们谈论爱情时我们在谈论什么     [美] 雷蒙德·卡佛                    
195                         8.8                         黄金时代                           王小波                           
196                         8.2                         骆驼祥子                           老舍                            
197                         6.5                         小时代2.0虚铜时代               郭敬明                           
198                         7.5                         乖，摸摸头                         大冰                            
199                         9.5                         海贼王                             尾田荣一郎                         
200                         8.1                         东霓                               笛安                            
201                         8.8                         你好，旧时光（上 下）             八月长安                          
202                         8.5                         如何阅读一本书                     [美] 莫提默·J. 艾德勒                
203                         8.5                         金锁记                             张爱玲                           
204                         7.7                         巴别塔之犬                         [美] 卡罗琳·帕克丝特                  
205                         8.3                         橙                                 安东尼                           
206                         8.9                         悲惨世界（上中下）                 [法] 雨果                        
207                         8.4                         盗墓笔记4                         南派三叔                          
208                         8.5                         香水                               [德] 帕·聚斯金德                    
209                         8.5                         那些回不去的年少时光               桐华                            
210                         8.8                         梦里花落知多少                     三毛                            
211                         8.3                         匆匆那年（上下）                   九夜茴                           
212                         8.8                         看不见的城市                       [意大利]伊塔洛·卡尔维诺                 
213                         8.8                         孩子你慢慢来                       龙应台                           
214                         7.2                         草样年华                           孙睿                            
215                         8.7                         史蒂夫·乔布斯传                   [美] 沃尔特·艾萨克森                  
216                         8.0                         蔷薇岛屿                           安妮宝贝                          
217                         8.6                         我的路                             寂地                            
218                         8.8                         一只特立独行的猪                   王小波                           
219                         8.6                         往事并不如烟                       章诒和                           
220                         8.2                         长恨歌                             王安忆                           
221                         8.7                         倾城之恋                           张爱玲                           
222                         8.8                         飞鸟集                             [印] 罗宾德拉纳德·泰戈尔                
223                         8.2                         菊与刀                             （美）鲁思・本尼迪克特                   
224                         7.2                         谁动了我的奶酪？                   [美] 斯宾塞·约翰逊                   
225                         8.7                         球状闪电                           刘慈欣                           
226                         8.5                         七夜雪                             沧月                            
227                         8.2                         那些年，我们一起追的女孩           九把刀                           
228                         9.2                         人类简史                           [以色列]尤瓦尔·赫拉利                  
229                         7.6                         曾有一个人，爱我如生命             舒仪                            
230                         8.0                         最初的爱情 最后的仪式             [英] 伊恩·麦克尤恩                   
231                         8.5                         世界尽头与冷酷仙境                 [日] 村上春树                      
232                         8.1                         伊豆的舞女                         [日] 川端康成                      
233                         8.2                         佛祖在一号线                       李海鹏                           
234                         8.2                         天使与魔鬼                         [美] 丹.布朗                      
235                         7.3                         杜拉拉2华年似水                   李可                            
236                         9.0                         阿狸·梦之城堡                     hans                          
237                         7.6                         不朽                               落落                            
238                         9.0                         刀锋                               [英]毛姆                         
239                         7.3                         秘密                               [澳] 朗达·拜恩                     
240                         8.0                         鬼吹灯之云南虫谷                   天下霸唱                          
241                         9.0                         傲慢与偏见                         [英] 奥斯丁                       
242                         7.9                         拆掉思维里的墙                     古典                            
243                         9.0                         明朝那些事儿（柒）：大结局         当年明月                          
244                         8.5                         倚天屠龙记(共四册)               金庸                            
245                         8.5                         把时间当作朋友                     李笑来                           
246                         8.1                         一个人的朝圣                       【英】蕾秋·乔伊斯                     
247                         8.9                         明朝那些事儿（陆）                 当年明月                          
248                         7.3                         尘埃星球                           落落                            
249                         8.6                         ZOO                             [日] 乙一                        
250                         6.9                         摆渡人                             [英]克莱儿·麦克福尔                   
